"Index"
"(B2 - B3) + (B2) / (B3)"
"(B2 - B3) - (B2 + B3)"
"(B2 - B3) - (B2 - B3)"
"(B2 - B3) - (B2) * (B3)"
"(B2 - B3) - (B2) / (B3)"
"(B2 - B3) * (B2 + B3)"
"(B2 - B3) * (B2 - B3)"
"(B2 - B3) * (B2) * (B3)"
"(B2 - B3) * (B2) / (B3)"
"(B2 - B3) / (B2 + B3)"
"(B2 - B3) / (B2 - B3)"
"(B2 - B3) / (B2) * (B3)"
"(B2 - B3) / (B2) / (B3)"
"(B2) * (B3)"
"B2 * (B3 + B2) + B3"
"B2 * (B3 + B2) - B3"
"B2 * (B3 + B2) * B3"
"B2 * (B3 + B2) / B3"
"B2 * (B3 - B2) + B3"
"B2 * (B3 - B2) - B3"
"B2 * (B3 - B2) * B3"
"B2 * (B3 - B2) / B3"
"(B2) * (B3) * (B2 + B3)"
"(B2) * (B3) * (B2 - B3)"
"(B2) * (B3) * (B2) * (B3)"
"(B2) * (B3) * (B2) / (B3)"
"(B2) * (B3) / (B2 + B3)"
"(B2) * (B3) / (B2 - B3)"
"(B2) * (B3) / (B2) * (B3)"
"(B2) * (B3) / (B2) / (B3)"
"(B2) / (B3)"
"B2 / (B3 + B2) + B3"
"B2 / (B3 + B2) - B3"
"B2 / (B3 + B2) * B3"
"B2 / (B3 + B2) / B3"
"B2 / (B3 - B2) + B3"
"B2 / (B3 - B2) - B3"
"B2 / (B3 - B2) * B3"
"B2 / (B3 - B2) / B3"
"(B2) / (B3) * (B2 + B3)"
"(B2) / (B3) * (B2 - B3)"
"(B2) / (B3) * (B2) * (B3)"
"(B2) / (B3) * (B2) / (B3)"
"(B2) / (B3) / (B2 + B3)"
"(B2) / (B3) / (B2 - B3)"
"(B2) / (B3) / (B2) * (B3)"
"(B2) / (B3) / (B2) / (B3)"
"(B3 + B2)"
"(B3 + B2) + (B3 + B2)"
"(B3 + B2) + (B3 - B2)"
"(B3 + B2) + (B3) * (B2)"
"(B3 + B2) + (B3) / (B2)"
"(B3 + B2) - (B3 + B2)"
"(B3 + B2) - (B3 - B2)"
"(B3 + B2) - (B3) * (B2)"
"(B3 + B2) - (B3) / (B2)"
"(B3 + B2) * (B3 + B2)"
"(B3 + B2) * (B3 - B2)"
